country,country_code,year,account_pct,bank_account_pct,mobile_account_pct
Zimbabwe,ZWE,2021,0.658617142,0.349182503,0.55648764
Zimbabwe,ZWE,2021,0.539752702,0.239010269,0.458992056
Botswana,BWA,2014,0.651664688,0.621489382,0.29670809
Botswana,BWA,2014,0.319688748,0.296970375,0.072423082
Cambodia,KHM,2014,0.260470032,0.15458711,0.15976172
Cambodia,KHM,2014,0.163069167,0.081764453,0.092474365
Cote d'Ivoire,CIV,2014,0.410756677,0.210706836,0.276345057
Cote d'Ivoire,CIV,2014,0.241759495,0.062209009,0.191938885
Ghana,GHA,2014,0.451520331,0.389465035,0.14973283
Ghana,GHA,2014,0.335196061,0.281105067,0.100493275
Kenya,KEN,2014,0.822842976,0.67709507,0.627395658
Kenya,KEN,2014,0.631689037,0.363688715,0.518441741
Mali,MLI,2014,0.232067178,0.1693121,0.116836573
Mali,MLI,2014,0.153577477,0.077105249,0.115803574
Namibia,NAM,2014,0.708661368,0.695841139,0.150925494
Namibia,NAM,2014,0.407007754,0.407007754,0.032255649
Rwanda,RWA,2014,0.587775915,0.546560054,0.256414809
Rwanda,RWA,2014,0.170873462,0.133400084,0.067645374
South Africa,ZAF,2014,0.796051526,0.779281018,0.181340114
South Africa,ZAF,2014,0.563528868,0.549933606,0.088562569
Tanzania,TZA,2014,0.497811193,0.248304611,0.418837034
Tanzania,TZA,2014,0.247676973,0.103519937,0.180623202
Uganda,UGA,2014,0.548465424,0.360438585,0.442538455
Uganda,UGA,2014,0.288055039,0.153589602,0.213327094
United Arab Emirates,ARE,2014,0.880168624,0.874472301,0.146510124
United Arab Emirates,ARE,2014,0.776929587,0.771973014,0.070171005
Zambia,ZMB,2014,0.456870057,0.408164995,0.165314207
Zambia,ZMB,2014,0.205722723,0.169973803,0.054845034
Zimbabwe,ZWE,2014,0.430846697,0.236758566,0.293265342
Zimbabwe,ZWE,2014,0.16303132,0.074338749,0.099679284
Bangladesh,BGD,2017,0.566799304,0.461212627,0.256871435
Bangladesh,BGD,2017,0.400787327,0.332352477,0.145716919
Benin,BEN,2017,0.429043296,0.352722578,0.211457691
Benin,BEN,2017,0.318528897,0.267924111,0.135064913
Botswana,BWA,2017,0.618897765,0.547833212,0.32269736
Botswana,BWA,2017,0.346667331,0.298226803,0.124832132
Burkina Faso,BFA,2017,0.540937166,0.315670423,0.409513922
Burkina Faso,BFA,2017,0.267418073,0.109875134,0.211171464
Cameroon,CMR,2017,0.409817361,0.311662045,0.204358405
Cameroon,CMR,2017,0.249801251,0.204013063,0.071707128
Chile,CHL,2017,0.79311156,0.785531663,0.235654527
Chile,CHL,2017,0.668719885,0.667293279,0.112949391
"Congo, Dem. Rep.",COD,2017,0.31421149,0.197169134,0.190385281
"Congo, Dem. Rep.",COD,2017,0.173902759,0.078770205,0.116608761
Cote d'Ivoire,CIV,2017,0.460730899,0.175233769,0.386618113
Cote d'Ivoire,CIV,2017,0.341676872,0.106023217,0.270915601
Gabon,GAB,2017,0.644497121,0.386656185,0.481277924
Gabon,GAB,2017,0.498290375,0.269621065,0.367522007
Ghana,GHA,2017,0.639443485,0.482651435,0.435465286
Ghana,GHA,2017,0.483440601,0.332807783,0.320251176
Guinea,GIN,2017,0.258706712,0.173801333,0.148593496
Guinea,GIN,2017,0.199027727,0.104922133,0.121592934
Haiti,HTI,2017,0.424419711,0.371188769,0.181866884
Haiti,HTI,2017,0.178797675,0.147847451,0.06508071
"Iran, Islamic Rep.",IRN,2017,0.944698347,0.940282593,0.302284666
"Iran, Islamic Rep.",IRN,2017,0.932458435,0.923425223,0.203650079
Kenya,KEN,2017,0.889394904,0.679310065,0.819306255
Kenya,KEN,2017,0.704534812,0.373052718,0.593646664
Lesotho,LSO,2017,0.543294293,0.400827823,0.356306492
Lesotho,LSO,2017,0.323939866,0.231630132,0.156391226
Liberia,LBR,2017,0.4177937,0.273775779,0.236204343
Liberia,LBR,2017,0.266030025,0.128802421,0.166720862
Malawi,MWI,2017,0.420109178,0.286037844,0.26875519
Malawi,MWI,2017,0.212052814,0.145298002,0.103937537
Malaysia,MYS,2017,0.885408304,0.884009459,0.116287559
Malaysia,MYS,2017,0.805045468,0.801790712,0.097374436
Maldives,MDV,2017,0.849705952,0.848015522,0.281064448
Maldives,MDV,2017,0.714076644,0.714076644,0.160901157
Mali,MLI,2017,0.381653282,0.201488325,0.265352359
Mali,MLI,2017,0.312610829,0.151379326,0.211658979
Mongolia,MNG,2017,0.94545619,0.94545619,0.276949334
Mongolia,MNG,2017,0.90594433,0.90594433,0.131449843
Mozambique,MOZ,2017,0.515480989,0.415236031,0.286702102
Mozambique,MOZ,2017,0.268005233,0.201767383,0.116255171
Namibia,NAM,2017,0.874247393,0.833935427,0.529208393
Namibia,NAM,2017,0.704174204,0.682441463,0.2915158
Paraguay,PRY,2017,0.555403113,0.36742727,0.332754301
Paraguay,PRY,2017,0.382959523,0.225618134,0.222844319
Rwanda,RWA,2017,0.57596308,0.409522701,0.417012545
Rwanda,RWA,2017,0.386518463,0.302132213,0.152302845
Senegal,SEN,2017,0.475735478,0.240617034,0.351104335
Senegal,SEN,2017,0.344888347,0.147915309,0.268226838
Sierra Leone,SLE,2017,0.243855838,0.150513145,0.139694258
Sierra Leone,SLE,2017,0.129209834,0.083773248,0.065778618
South Africa,ZAF,2017,0.735779464,0.715387076,0.236232788
South Africa,ZAF,2017,0.626352808,0.612428052,0.120606669
Tanzania,TZA,2017,0.530418261,0.260460106,0.43946583
Tanzania,TZA,2017,0.372505179,0.133086088,0.303687519
Togo,TGO,2017,0.523144543,0.403176865,0.248226984
Togo,TGO,2017,0.347435734,0.246860947,0.164054997
Turkiye,TUR,2017,0.766746991,0.760706715,0.193541631
Turkiye,TUR,2017,0.563754096,0.54952188,0.119664957
Uganda,UGA,2017,0.670711371,0.388892076,0.578256773
Uganda,UGA,2017,0.472989683,0.237055188,0.396297376
United Arab Emirates,ARE,2017,0.916795237,0.91057806,0.251504164
United Arab Emirates,ARE,2017,0.829903704,0.818731747,0.155859008
"Venezuela, RB",VEN,2017,0.823289612,0.823289612,0.143997396
"Venezuela, RB",VEN,2017,0.601840357,0.594975784,0.058035265
Zambia,ZMB,2017,0.556023649,0.447917771,0.340572126
Zambia,ZMB,2017,0.312449635,0.223785599,0.185140136
Zimbabwe,ZWE,2017,0.630571803,0.381595002,0.541369718
Zimbabwe,ZWE,2017,0.436011797,0.131774558,0.402301141
Argentina,ARG,2021,0.758196452,0.714390565,0.403894528
Argentina,ARG,2021,0.652348174,0.585288621,0.269952845
Armenia,ARM,2021,0.619282099,0.6009453,0.194905197
Armenia,ARM,2021,0.454501446,0.404434999,0.126098566
Bangladesh,BGD,2021,0.55574733,0.405140443,0.31296325
Bangladesh,BGD,2021,0.48651172,0.334424686,0.255684277
Benin,BEN,2021,0.535391783,0.268749129,0.413399342
Benin,BEN,2021,0.41191727,0.191499294,0.296868111
Bolivia,BOL,2021,0.771521304,0.758548458,0.175094236
Bolivia,BOL,2021,0.562876483,0.559413859,0.0601244
Botswana,BWA,2022,0.661921928,0.570541339,0.449042473
Botswana,BWA,2022,0.475924168,0.390917,0.240333448
Brazil,BRA,2021,0.854033211,0.8488501,0.307715114
Brazil,BRA,2021,0.819784255,0.815746987,0.212264429
Burkina Faso,BFA,2021,0.43149292,0.263740328,0.29390011
Burkina Faso,BFA,2021,0.254991002,0.130340556,0.175454969
Cameroon,CMR,2021,0.634602381,0.296432077,0.521560781
Cameroon,CMR,2021,0.338855918,0.143407133,0.277981433
Chad,TCD,2022,0.236793874,0.18200579,0.13149997
Chad,TCD,2022,0.236091663,0.184920846,0.104886548
Colombia,COL,2021,0.677428201,0.639177076,0.275041252
Colombia,COL,2021,0.476721563,0.439779435,0.131570578
"Congo, Rep.",COG,2021,0.562483733,0.237181867,0.430619111
"Congo, Rep.",COG,2021,0.334793467,0.097278013,0.27348332
Cote d'Ivoire,CIV,2021,0.552585614,0.244072472,0.438033143
Cote d'Ivoire,CIV,2021,0.440101253,0.148162515,0.352790054
El Salvador,SLV,2021,0.443230999,0.384748124,0.140420901
El Salvador,SLV,2021,0.230837472,0.19020124,0.062158404
Eswatini,SWZ,2022,0.694851741,0.457190442,0.593868513
Eswatini,SWZ,2022,0.612097727,0.275924387,0.527791367
Gabon,GAB,2021,0.710252459,0.338066879,0.587756528
Gabon,GAB,2021,0.586120686,0.180766867,0.555112326
Ghana,GHA,2021,0.772024902,0.487857618,0.685272646
Ghana,GHA,2021,0.547194536,0.247564822,0.463769124
Guinea,GIN,2021,0.348859497,0.148741128,0.262825829
Guinea,GIN,2021,0.237648154,0.121139337,0.143435567
India,IND,2021,0.77047704,0.767392135,0.15160378
India,IND,2021,0.782527604,0.781480303,0.033442013
"Iran, Islamic Rep.",IRN,2021,0.917102032,0.911031214,0.146089674
"Iran, Islamic Rep.",IRN,2021,0.873955083,0.873955083,0.090513131
Jamaica,JAM,2021,0.770388434,0.765894733,0.165087097
Jamaica,JAM,2021,0.676887024,0.667867733,0.068832098
Jordan,JOR,2021,0.538513864,0.510775551,0.108407319
Jordan,JOR,2021,0.370123856,0.31757408,0.103881005
Kenya,KEN,2021,0.870200163,0.605522243,0.770743765
Kenya,KEN,2021,0.6744951,0.355941213,0.560261735
Kyrgyz Republic,KGZ,2021,0.457642574,0.410026198,0.142902221
Kyrgyz Republic,KGZ,2021,0.440891178,0.40922212,0.07131394
Lesotho,LSO,2022,0.669614756,0.458718483,0.506008084
Lesotho,LSO,2022,0.586391557,0.421043454,0.387852158
Liberia,LBR,2021,0.579241617,0.313640242,0.427870953
Liberia,LBR,2021,0.421040693,0.243887141,0.264692161
Madagascar,MDG,2022,0.338802529,0.190909231,0.247425301
Madagascar,MDG,2022,0.149386778,0.063659012,0.104648781
Malawi,MWI,2021,0.491164202,0.240199746,0.398958431
Malawi,MWI,2021,0.330939711,0.145237564,0.260246567
Malaysia,MYS,2021,0.919659085,0.916168501,0.376963117
Malaysia,MYS,2021,0.829814604,0.829814604,0.133840416
Mali,MLI,2021,0.474852826,0.292890582,0.331920889
Mali,MLI,2021,0.375125069,0.271711295,0.236455008
Mauritania,MRT,2022,0.238712319,0.197993292,0.117790237
Mauritania,MRT,2022,0.228307099,0.212942323,0.077274677
Mauritius,MUS,2021,0.905099664,0.897178993,0.190967207
Mauritius,MUS,2021,0.905511383,0.903161263,0.110497306
Mexico,MEX,2022,0.602225062,0.58201765,0.239944489
Mexico,MEX,2022,0.320687284,0.282797094,0.093448975
Mongolia,MNG,2021,0.985657244,0.985657244,0.640524627
Mongolia,MNG,2021,0.982881158,0.975623491,0.509125228
Mozambique,MOZ,2021,0.594723932,0.46364362,0.383917888
Mozambique,MOZ,2021,0.344836365,0.27010059,0.158179922
Myanmar,MMR,2021,0.576526712,0.460193397,0.358390802
Myanmar,MMR,2021,0.329858552,0.213166572,0.18809365
Namibia,NAM,2021,0.81306739,0.769655133,0.53633816
Namibia,NAM,2021,0.563812129,0.484589506,0.260837445
Paraguay,PRY,2021,0.5879174,0.313968794,0.405696786
Paraguay,PRY,2021,0.478391116,0.205913383,0.333822615
Peru,PER,2021,0.653974922,0.642608178,0.194515214
Peru,PER,2021,0.45536394,0.44146099,0.066122733
Philippines,PHL,2021,0.627977305,0.562960919,0.286479069
Philippines,PHL,2021,0.339873974,0.302951976,0.112270156
Russian Federation,RUS,2021,0.923204028,0.913867414,0.34696995
Russian Federation,RUS,2021,0.858112011,0.8468336,0.302959441
Senegal,SEN,2021,0.61135487,0.300266182,0.509239795
