country,country_code,year,account_pct,bank_account_pct,mobile_account_pct,country_name,poverty_headcount,gini
Gabon,GAB,2017,0.723960616,0.452408832,0.562393261,Gabon,0.038104873394,0.380243722915
Gabon,GAB,2017,0.455328132,0.239279588,0.312131348,Gabon,0.038104873394,0.380243722915
"Iran, Islamic Rep.",IRN,2017,0.947167397,0.940565425,0.305360868,"Iran, Islamic Rep.",0.026673317587,0.36693677284
"Iran, Islamic Rep.",IRN,2017,0.903630139,0.898448366,0.083538736,"Iran, Islamic Rep.",0.026673317587,0.36693677284
Lesotho,LSO,2017,0.633708389,0.459060364,0.470640604,Lesotho,0.418584923481,0.448776131498
Lesotho,LSO,2017,0.370619168,0.273453782,0.183629251,Lesotho,0.418584923481,0.448776131498
Paraguay,PRY,2017,0.511394016,0.31098994,0.334838769,Paraguay,0.023750721313,0.48547492851
Paraguay,PRY,2017,0.44362492,0.310307444,0.209713112,Paraguay,0.023750721313,0.48547492851
Turkiye,TUR,2017,0.740208157,0.729239731,0.20696256,Türkiye,0.007297743292,0.414056667367
Turkiye,TUR,2017,0.574380933,0.56849871,0.076136077,Türkiye,0.007297743292,0.414056667367
Zimbabwe,ZWE,2017,0.652258814,0.353059472,0.581047082,Zimbabwe,0.446568730815,0.443370820756
Zimbabwe,ZWE,2017,0.379223942,0.158941995,0.319050037,Zimbabwe,0.446568730815,0.443370820756
Argentina,ARG,2021,0.796931869,0.740182523,0.454140651,Argentina,0.013630346643,0.42445560063
Argentina,ARG,2021,0.570962488,0.524670696,0.164750863,Argentina,0.013630346643,0.42445560063
Armenia,ARM,2021,0.567015449,0.539037699,0.177061872,Armenia,0.021180894605,0.279401304413
Armenia,ARM,2021,0.445577736,0.387306836,0.08740635,Armenia,0.021180894605,0.279401304413
Benin,BEN,2021,0.636144922,0.359653757,0.503210062,Benin,0.272234156775,0.343958073714
Benin,BEN,2021,0.410090372,0.175903067,0.29764744,Benin,0.272234156775,0.343958073714
Bolivia,BOL,2021,0.754125776,0.741068587,0.176570786,Bolivia,0.030546807793,0.409133239264
Bolivia,BOL,2021,0.553876723,0.553876723,0.018036167,Bolivia,0.030546807793,0.409133239264
Brazil,BRA,2021,0.855630236,0.852946896,0.315390454,Brazil,0.074646967133,0.529388097112
Brazil,BRA,2021,0.812766273,0.803045741,0.140075399,Brazil,0.074646967133,0.529388097112
Burkina Faso,BFA,2021,0.554004983,0.347314657,0.402703885,Burkina Faso,0.4206163413,0.37391286077
Burkina Faso,BFA,2021,0.316919841,0.179211213,0.21092634,Burkina Faso,0.4206163413,0.37391286077
Cameroon,CMR,2021,0.672119072,0.326625167,0.572252239,Cameroon,0.266917996676,0.421760724554
Cameroon,CMR,2021,0.371978414,0.149980044,0.28704192,Cameroon,0.266917996676,0.421760724554
Chad,TCD,2022,0.414029906,0.337389867,0.197026547,Chad,0.394753751496,0.37357686373
Chad,TCD,2022,0.219766941,0.168122008,0.113932952,Chad,0.394753751496,0.37357686373
Colombia,COL,2021,0.646633795,0.60024554,0.268986105,Colombia,0.112283738229,0.551170224126
Colombia,COL,2021,0.480776327,0.466462179,0.078489084,Colombia,0.112283738229,0.551170224126
Cote d'Ivoire,CIV,2021,0.692525882,0.328867565,0.563887049,Côte d'Ivoire,0.209026087195,0.352753624351
Cote d'Ivoire,CIV,2021,0.439860781,0.162493894,0.343191129,Côte d'Ivoire,0.209026087195,0.352753624351
El Salvador,SLV,2021,0.506719535,0.451306894,0.175528256,El Salvador,0.051309082352,0.390106330774
El Salvador,SLV,2021,0.279580794,0.230570196,0.07314882,El Salvador,0.051309082352,0.390106330774
"Iran, Islamic Rep.",IRN,2021,0.927250334,0.922642748,0.151577151,"Iran, Islamic Rep.",0.0370868413,0.354687290219
"Iran, Islamic Rep.",IRN,2021,0.838635411,0.837147076,0.061959727,"Iran, Islamic Rep.",0.0370868413,0.354687290219
Jamaica,JAM,2021,0.828052238,0.828052238,0.14524223,Jamaica,0.013869244053,0.39874473579
Jamaica,JAM,2021,0.599446186,0.587676117,0.086386311,Jamaica,0.013869244053,0.39874473579
Kenya,KEN,2021,0.882125525,0.595977672,0.778373655,Kenya,0.464498496563,0.387019625737
Kenya,KEN,2021,0.610172452,0.322713818,0.501124448,Kenya,0.464498496563,0.387019625737
Kyrgyz Republic,KGZ,2021,0.488758365,0.452339593,0.121266776,Kyrgyz Republic,0.056484836659,0.287933039694
Kyrgyz Republic,KGZ,2021,0.289362826,0.227499887,0.084496853,Kyrgyz Republic,0.056484836659,0.287933039694
Malaysia,MYS,2021,0.929416354,0.92673585,0.342031477,Malaysia,0.000130829415,0.406684269677
Malaysia,MYS,2021,0.71673437,0.71673437,0.033831711,Malaysia,0.000130829415,0.406684269677
Mali,MLI,2021,0.653295687,0.41124287,0.506031278,Mali,0.361030773406,0.356535942464
Mali,MLI,2021,0.385670824,0.255613702,0.245468484,Mali,0.361030773406,0.356535942464
Mexico,MEX,2022,0.563097417,0.53519248,0.237022472,Mexico,0.023303961168,0.434540071467
Mexico,MEX,2022,0.317912027,0.29205515,0.050684452,Mexico,0.023303961168,0.434540071467
Paraguay,PRY,2021,0.611869361,0.296931361,0.455442484,Paraguay,0.018594976834,0.429051216657
Paraguay,PRY,2021,0.436058509,0.229327632,0.250881009,Paraguay,0.018594976834,0.429051216657
Peru,PER,2021,0.616175675,0.600726498,0.173909959,Peru,0.051898446463,0.401218035606
Peru,PER,2021,0.409253995,0.409253995,0.021136213,Peru,0.051898446463,0.401218035606
Philippines,PHL,2021,0.611750789,0.55131536,0.268915578,Philippines,0.156957445487,0.37268467115
Philippines,PHL,2021,0.327689811,0.286265751,0.119612372,Philippines,0.156957445487,0.37268467115
Russian Federation,RUS,2021,0.904941181,0.895772285,0.326088452,Russian Federation,0.00225971227,0.351442241658
Russian Federation,RUS,2021,0.822854665,0.802946903,0.36840356,Russian Federation,0.00225971227,0.351442241658
Senegal,SEN,2021,0.706811092,0.326168885,0.644757159,Senegal,0.178874715861,0.361577212421
Senegal,SEN,2021,0.51292539,0.26694851,0.386805543,Senegal,0.178874715861,0.361577212421
Thailand,THA,2021,0.973116749,0.964478156,0.70796743,Thailand,0.000286008266,0.349238724919
Thailand,THA,2021,0.934699289,0.914437809,0.469167698,Thailand,0.000286008266,0.349238724919
Togo,TGO,2021,0.619083852,0.353982196,0.474235248,Togo,0.344180057867,0.378580048835
Togo,TGO,2021,0.422802899,0.186617,0.303394203,Togo,0.344180057867,0.378580048835
Turkiye,TUR,2021,0.817524802,0.81140437,0.242108727,Türkiye,0.009449698363,0.443648270149
Turkiye,TUR,2021,0.615382693,0.605824394,0.074686571,Türkiye,0.009449698363,0.443648270149
Viet Nam,VNM,2022,0.606943102,0.60564078,0.183039861,Viet Nam,0.016033597017,0.360930040903
Viet Nam,VNM,2022,0.217664905,0.210090539,0.021293634,Viet Nam,0.016033597017,0.360930040903
