country,country_code,year,account_pct,bank_account_pct,mobile_account_pct,digital_account_pct
Benin,BEN,2024,0.573960952,0.240209831,0.480818866,0.519743693
Benin,BEN,2024,0.420188871,0.126261551,0.391953427,0.400284775
Bolivia,BOL,2024,0.579699446,0.556698471,0.175927823,0.322061176
Bolivia,BOL,2024,0.53823846,0.475995711,0.264152665,0.377150245
Botswana,BWA,2024,0.642385837,0.448551077,0.529654665,0.585056378
Botswana,BWA,2024,0.522769665,0.309684468,0.472085297,0.48705283
Brazil,BRA,2024,0.868281158,0.862584314,0.541827959,0.687756064
Brazil,BRA,2024,0.843933437,0.825231648,0.758853634,0.800298854
Burkina Faso,BFA,2024,0.535592523,0.224354377,0.459176772,0.469498878
Burkina Faso,BFA,2024,0.472708872,0.168733684,0.407250264,0.409996194
Cambodia,KHM,2024,0.385520971,0.368916019,0.146257928,0.301012853
Cambodia,KHM,2024,0.405397345,0.384560028,0.240132019,0.389533705
Cameroon,CMR,2024,0.628688101,0.250706113,0.554323065,0.565690617
Cameroon,CMR,2024,0.571746316,0.134445755,0.543852309,0.556464503
Chad,TCD,2024,0.209963435,0.160059501,0.122282109,0.153969781
Chad,TCD,2024,0.207374442,0.133534774,0.151550129,0.16765485
Colombia,COL,2024,0.557707913,0.427606073,0.366019515,0.432841998
Colombia,COL,2024,0.622389272,0.458642881,0.493736911,0.569380645
Comoros,COM,2024,0.516069935,0.47231995,0.144415277423058,0.248276823
Comoros,COM,2024,0.324618637,0.273496136,0.133585753,0.195618373
"Congo, Dem. Rep.",COD,2024,0.437790428,0.174598167,0.385321321,0.395685988
"Congo, Dem. Rep.",COD,2024,0.316440897,0.069519181,0.294571811,0.297201
"Congo, Rep.",COG,2024,0.556570332,0.190373538,0.507257131,0.524003609
"Congo, Rep.",COG,2024,0.553898016,0.047927587,0.535843129,0.542743008
Cote d'Ivoire,CIV,2024,0.61711442,0.205620968,0.568215858,0.575305454
Cote d'Ivoire,CIV,2024,0.486274746,0.087630256,0.459605017,0.461865533
Dominican Republic,DOM,2024,0.700094574,0.687436418,0.183038647,0.43272542
Dominican Republic,DOM,2024,0.474303767,0.452145409,0.170607028,0.368014177
Ecuador,ECU,2024,0.657733737,0.650776316,0.093464961,0.352532856
Ecuador,ECU,2024,0.605153389,0.603927523,0.124079055,0.482790649
"Egypt, Arab Rep.",EGY,2024,0.470131694,0.420230446,0.128834236,0.286045858
"Egypt, Arab Rep.",EGY,2024,0.325398576,0.169732528,0.22992354,0.272430847
Eswatini,SWZ,2024,0.734298294,0.505900003,0.577097581,0.648962093
Eswatini,SWZ,2024,0.440752171,0.242698687,0.319246797,0.355691484
Gabon,GAB,2024,0.712739464,0.302233235,0.629201755,0.650159323
Gabon,GAB,2024,0.620035953,0.140614041,0.590874907,0.593225486
"Gambia, The",GMB,2024,0.401781551,0.325941426,0.217873653,0.250941757
"Gambia, The",GMB,2024,0.347950047,0.27931556,0.145854042,0.188820416
Ghana,GHA,2024,0.817894024,0.458666856,0.784934501,0.796714723
Ghana,GHA,2024,0.799671595,0.22101891,0.777861122,0.783674398
Guinea,GIN,2024,0.3716843,0.175185382,0.275103747,0.305397843
Guinea,GIN,2024,0.336901211,0.156087019,0.222686103,0.265483579
Honduras,HND,2024,0.428835696,0.40226972,0.095671811,0.210249595
Honduras,HND,2024,0.411686514,0.365140906,0.14713021,0.282643793
India,IND,2024,0.911674455,0.909734022,0.207763998,0.285260675
India,IND,2024,0.833298882,0.824941758,0.292787212,0.37820198
Indonesia,IDN,2024,0.547250177,0.529377829,0.17093372,0.343807714
Indonesia,IDN,2024,0.619926628,0.504626426,0.393997695,0.479323215
"Iran, Islamic Rep.",IRN,2024,0.908758715,0.908758715,0.112714087,0.845336919
"Iran, Islamic Rep.",IRN,2024,0.9176576,0.9176576,0.200802749,0.873402671
Iraq,IRQ,2024,0.302429261,0.289001948,0.110602814,0.195857654
Iraq,IRQ,2024,0.299052578,0.26285441,0.143790667,0.187821333
Jordan,JOR,2024,0.553178017,0.499622383,0.215690356,0.335601462
Jordan,JOR,2024,0.292483474,0.194068306,0.186117605,0.215200748
Kazakhstan,KAZ,2024,0.910544065,0.885408015,0.500536415,0.809155516
Kazakhstan,KAZ,2024,0.682685954,0.638334013,0.432498239,0.642228461
Kenya,KEN,2024,0.902583549,0.479041936,0.871351486,0.89620002
